Style ID,Product Name,Brand,Category,Article Type,Vendor,Supplier Email,Supplier SKU,NLC INR,HSN Code,GST Rate,Supplier GSTIN,Supplier State,Lead Time Days,Payment Terms,Incoterms,MOQ,Pack Size
3314131,Roadster Men Black Solid Round Neck T-shirt,Roadster,Men Western Wear,T-shirts,GARG ACRYLICS LTD.,garg@supplier-demo.example,DEMO-STYLE-3314131,124,6109,12,29DEMOS1001A1Z5,Karnataka,14,Net 30,DDP,100,20
7139482,Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,Men Western Wear,Jeans,AR FASHION STUDIO,arf@supplier-demo.example,DEMO-STYLE-7139482,379,6203,12,29DEMOS1002A1Z5,Karnataka,14,Net 30,DDP,100,20
21422548,Roadster Men T-shirt,Roadster,Men Western Wear,T-shirts,Truenet Commerce,truenet@supplier-demo.example,DEMO-STYLE-21422548,,6109,12,,Karnataka,14,Net 30,DDP,100,20
20721342,DressBerry Pink Floral Midi Dress,DressBerry,Women Western Wear,Dresses,M/S IBA CRAFTS PRIVATE LIMITED,iba@supplier-demo.example,DEMO-STYLE-20721342,580,6204,12,29DEMOS1004A1Z5,Karnataka,14,Net 30,DDP,100,20
32016912,DressBerry Square Neck Top,DressBerry,Women Western Wear,Tops,Vision Star,vision@supplier-demo.example,DEMO-STYLE-32016912,149,6106,12,29DEMOS1005A1Z5,Karnataka,14,Net 30,DDP,100,20
39808527,DressBerry Top,DressBerry,Women Western Wear,Tops,WHITE IMPACT,white@supplier-demo.example,DEMO-STYLE-39808527,,6106,12,,Karnataka,14,Net 30,DDP,100,20
38471815,Anouk Women Kurta,Anouk,Women Ethnic Wear,Kurtas,Astitva Creations Private Limited,astitva@supplier-demo.example,DEMO-STYLE-38471815,294,6211,12,08DEMOS1007A1Z5,Rajasthan,18,Net 45,DDP,80,10
34530975,Anouk Women Ethnic Motifs Embroidered A-Line Kurta,Anouk,Women Ethnic Wear,Kurtas,Astitva Creations Private Limited,astitva@supplier-demo.example,DEMO-STYLE-34530975,291,6211,12,08DEMOS1007A1Z5,Rajasthan,18,Net 45,DDP,80,10
30534878,Anouk Saree,Anouk,Women Ethnic Wear,Sarees,KEEV LIFESTYLES PRIVATE LIMITED,keev@supplier-demo.example,DEMO-STYLE-30534878,,5007,12,,Rajasthan,18,Net 45,DDP,80,10
13346136,HRX Women Skinny Fit Seamless Rapid-Dry Antimicrobial Yoga Tights,HRX by Hrithik Roshan,Sports Wear,Tights,SANGAM (INDIA) LIMITED,sangam@supplier-demo.example,DEMO-STYLE-13346136,258,6104,12,06DEMOS1009A1Z5,Haryana,16,Net 30,DDP,72,12
25587450,HRX Women Mid Rise Tights,HRX by Hrithik Roshan,Sports Wear,Tights,GURKIRPA LIFESTYLE COMPANY,gurkirpa@supplier-demo.example,DEMO-STYLE-25587450,257,6104,12,06DEMOS1010A1Z5,Haryana,16,Net 30,DDP,72,12
42042400,HRX Men Shorts,HRX by Hrithik Roshan,Sports Wear,Shorts,ZEAL BIZFASHION VENTURES PRIVATE LIMITED,zeal@supplier-demo.example,DEMO-STYLE-42042400,,6103,12,,Haryana,16,Net 30,DDP,72,12
40200375,HRX Men Running Shoes,HRX by Hrithik Roshan,Footwear,Sports Shoes,Treespoon Private Limited,treespoon@supplier-demo.example,DEMO-STYLE-40200375,675,6404,18,06DEMOS1012A1Z5,Haryana,22,Net 45,DDP,48,12
36220389,HRX Men Running Shoes,HRX by Hrithik Roshan,Footwear,Sports Shoes,Supercom Net,supercom@supplier-demo.example,DEMO-STYLE-36220389,564,6404,18,06DEMOS1013A1Z5,Haryana,22,Net 45,DDP,48,12
31026146,Roadster Women PU Stylish Casual Lightweight Comfort Sneaker,Roadster,Footwear,Casual Shoes,SAPPHIRE WOLF FASHION PRIVATE LIMITED,sapphire@supplier-demo.example,DEMO-STYLE-31026146,366,6404,18,06DEMOS1014A1Z5,Haryana,22,Net 45,DDP,48,12
18774016,Roadster X fwd Unisex Black Backpacks 30 L,Roadster,Accessories,Backpacks,KP Leather Associates,kpleather@supplier-demo.example,DEMO-STYLE-18774016,337,4202,12,19DEMOS1015A1Z5,West Bengal,13,Net 30,DDP,60,10
33559982,DressBerry Women Black Embellished Floral Satin Handbag,DressBerry,Accessories,Handbags,PARUL HANDICRAFTS (P)LTD,parul@supplier-demo.example,DEMO-STYLE-33559982,434,4202,12,19DEMOS1016A1Z5,West Bengal,13,Net 30,DDP,60,10
23839854,Mast & Harbour Men Black Slim Formal Belt,Mast & Harbour,Accessories,Belts,Kastner Leather Trading Pvt Ltd,kastner@supplier-demo.example,DEMO-STYLE-23839854,207,4203,12,19DEMOS1017A1Z5,West Bengal,13,Net 30,DDP,60,10
24541476,YK Boys Typography Printed Pure Cotton Oversized Fit Casual T-shirt,YK,Kids Wear,T-shirts,CROSSROADS CLOTHING PVT LTD,crossroads@supplier-demo.example,DEMO-STYLE-24541476,228,6109,12,29DEMOS1018A1Z5,Karnataka,14,Net 30,DDP,100,20
42034038,YK Boys Printed T-shirt,YK,Kids Wear,T-shirts,Omnitech Retail,omnitech@supplier-demo.example,DEMO-STYLE-42034038,478,6109,12,29DEMOS1019A1Z5,Karnataka,14,Net 30,DDP,100,20
32465313,YK Girls Floral Fit & Flare Dress,YK,Kids Wear,Dresses,Omnitech Retail,omnitech@supplier-demo.example,DEMO-STYLE-32465313,332,6204,12,29DEMOS1019A1Z5,Karnataka,14,Net 30,DDP,100,20
32619377,nandiayan Women Liquid Lipstick Set of 12 Smudge Proof Matte Shades – 2.5 ml Each,nandiayan,Beauty & Personal Care,Lipstick,Nyraa Young Cosmetics Private Limited,nyraa@supplier-demo.example,DEMO-STYLE-32619377,145,3304,12,27DEMOS1020A1Z5,Maharashtra,12,Net 30,DDP,120,24
